Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0295,"oil, coconut,884,0.0,0,0.0,0.00,0.00,0.00,0,0.00",884,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.04,0.00
MZF0035,"oil, olive,884,0.0,0,0.0,0.00,0.00,0.00,0,0.00",884,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.56,0.00
MZF0036,"oil, palm,884,0.0,0,0.0,0.00,0.00,0.00,0,0.00",884,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.01,0.00
MZF0037,"oil, soybean,884,0.0,0,0.0,0.00,0.00,0.00,0,0.00",884,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.05,0.01
MZF0038,"oil, sunflower,884,0.0,0,0.0,0.00,0.00,0.00,0,0.00",884,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.00,0.00
MZF0240,ash,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,15663,140.00,9.30
MZF0286,baking soda,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.00,0.00
MZF0239,chicken stock powder,264,16.7,0,1.1,0.10,0.43,2.46,32,0.30,187,1.03,0.09
MZF0241,"cocoa mix, powder,395,6.7,1,0.2,0.10,0.57,0.59,6,0.35",395,6.7,1,0.2,0.10,0.57,0.59,6,0.35,133,1.19,1.46
MZF0177,hard candy,400,0.0,0,0.0,0.00,0.00,0.01,0,0.00,3,0.30,0.01
MZF0178,honey,336,0.3,0,0.5,0.00,0.04,0.12,2,0.00,6,0.42,0.22
MZF0179,"jam, preserve,280,0.4,0,8.8,0.02,0.08,0.04,11,0.00",280,0.4,0,8.8,0.02,0.08,0.04,11,0.00,20,0.49,0.06
MZF0180,milk chocolate,527,7.7,59,0.0,0.11,0.30,0.39,12,0.75,189,2.35,2.30
MZF0220,potato chips,546,6.8,0,46.0,0.37,0.02,2.50,1,0.00,17,2.00,0.70
MZF0182,"salt, coarse-grained,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00",0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,258,28.20,0.09
MZF0183,"salt, table salt,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00",0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,24,0.33,0.10
MZF0219,"snack, savory, niknak,495,3.6,0,8.0,2.30,2.70,,1",495,3.6,0,8.0,2.30,2.70,,1,0.00,43,2.00,0.40
MZF0258,"sugar cane, juice,56,0.4,0,10.0,0.00,,0.00,,0.00",56,0.4,0,10.0,0.00,,0.00,,0.00,,0.90,
MZF0185,"sugar, granulated,406,0.0,0,0.0,0.00,0.02,0.00,0,0.00",406,0.0,0,0.0,0.00,0.02,0.00,0,0.00,1,0.01,0.00
MZF0269,vinegar,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,6,0.03,0.01
